x,y,tree-state,burn-counter,fire-intensity,max-burn-counter
81,27,unaffected,0,0,77
-92,54,empty,0,0,0
9,103,unaffected,0,0,49
58,122,unaffected,0,0,69
81,108,unaffected,0,0,81
-66,-59,unaffected,0,0,66
-29,21,empty,0,0,0
-61,115,empty,0,0,0
-48,2,empty,0,0,0
110,37,unaffected,0,0,71
-45,29,empty,0,0,0
-101,112,unaffected,0,0,55
-97,61,unaffected,0,0,75
-124,-54,empty,0,0,0
54,-39,unaffected,0,0,75
-48,117,empty,0,0,0
-26,67,empty,0,0,0
109,-3,empty,0,0,0
-4,23,empty,0,0,0
-125,-117,unaffected,0,0,40
76,23,unaffected,0,0,80
-95,-117,unaffected,0,0,101
-67,93,empty,0,0,0
-26,54,unaffected,0,0,63
118,48,empty,0,0,0
0,97,empty,0,0,0
-26,41,empty,0,0,0
83,94,unaffected,0,0,44
107,-17,unaffected,0,0,92
7,-113,empty,0,0,0
-115,-2,unaffected,0,0,44
72,93,empty,0,0,0
-42,-47,unaffected,0,0,38
-74,99,unaffected,0,0,70
-14,107,unaffected,0,0,57
110,81,unaffected,0,0,93
0,-68,unaffected,0,0,105
-58,89,unaffected,0,0,98
106,53,empty,0,0,0
-13,32,empty,0,0,0
-41,-78,unaffected,0,0,78
3,18,unaffected,0,0,90
-33,-43,unaffected,0,0,70
-24,-76,unaffected,0,0,45
54,48,empty,0,0,0
65,-122,empty,0,0,0
7,88,unaffected,0,0,43
32,-15,unaffected,0,0,75
-1,121,unaffected,0,0,88
17,-44,empty,0,0,0
7,95,empty,0,0,0
-89,-27,empty,0,0,0
-88,-24,empty,0,0,0
47,-123,empty,0,0,0
121,56,unaffected,0,0,104
79,16,unaffected,0,0,56
57,93,empty,0,0,0
-25,113,unaffected,0,0,41
105,-113,unaffected,0,0,80
-101,45,unaffected,0,0,46
13,-35,unaffected,0,0,63
56,-40,unaffected,0,0,43
-46,94,empty,0,0,0
31,-50,unaffected,0,0,70
-45,-124,unaffected,0,0,74
-34,43,unaffected,0,0,67
90,20,unaffected,0,0,64
5,-42,empty,0,0,0
-56,14,unaffected,0,0,98
51,-28,empty,0,0,0
75,-69,empty,0,0,0
48,79,unaffected,0,0,71
-81,57,empty,0,0,0
105,16,unaffected,0,0,55
-118,-56,empty,0,0,0
-47,-111,unaffected,0,0,77
104,61,empty,0,0,0
82,-109,unaffected,0,0,65
-8,-29,unaffected,0,0,82
1,-106,unaffected,0,0,103
2,-8,unaffected,0,0,36
50,93,empty,0,0,0
8,-80,empty,0,0,0
-89,-121,empty,0,0,0
-68,53,empty,0,0,0
67,-49,unaffected,0,0,91
-16,52,unaffected,0,0,90
-29,28,empty,0,0,0
-49,-21,unaffected,0,0,70
123,-39,empty,0,0,0
52,-69,empty,0,0,0
-107,-33,unaffected,0,0,52
-23,-112,unaffected,0,0,76
-105,-24,empty,0,0,0
-75,-58,empty,0,0,0
122,-52,empty,0,0,0
45,-55,unaffected,0,0,88
-39,-91,unaffected,0,0,41
-97,-60,unaffected,0,0,70
-36,-16,empty,0,0,0
76,-41,empty,0,0,0
7,103,unaffected,0,0,63
35,-81,unaffected,0,0,83
-122,-32,empty,0,0,0
94,96,unaffected,0,0,86
-11,60,unaffected,0,0,63
-48,18,unaffected,0,0,95
109,116,unaffected,0,0,42
-99,-115,unaffected,0,0,44
32,116,empty,0,0,0
-8,69,unaffected,0,0,87
79,-23,unaffected,0,0,67
-21,-84,unaffected,0,0,35
-53,79,empty,0,0,0
-108,-76,unaffected,0,0,43
-112,-95,unaffected,0,0,45
102,115,empty,0,0,0
123,-90,unaffected,0,0,54
-102,-118,empty,0,0,0
96,102,unaffected,0,0,55
80,31,unaffected,0,0,97
-97,117,unaffected,0,0,36
80,105,empty,0,0,0
-114,93,unaffected,0,0,39
-106,-45,unaffected,0,0,70
-4,32,empty,0,0,0
120,-67,empty,0,0,0
8,46,unaffected,0,0,51
-90,-63,empty,0,0,0
-75,66,empty,0,0,0
-29,77,empty,0,0,0
59,99,unaffected,0,0,75
73,-15,unaffected,0,0,88
37,16,empty,0,0,0
60,19,unaffected,0,0,83
-2,-44,empty,0,0,0
-125,-95,unaffected,0,0,65
-3,-49,unaffected,0,0,74
55,-69,unaffected,0,0,36
53,30,unaffected,0,0,87
7,-94,unaffected,0,0,51
-42,-71,unaffected,0,0,46
-48,-67,empty,0,0,0
40,26,unaffected,0,0,101
87,-3,empty,0,0,0
99,91,unaffected,0,0,72
37,72,empty,0,0,0
-79,-76,unaffected,0,0,40
-29,-52,unaffected,0,0,103
83,-35,unaffected,0,0,64
122,23,empty,0,0,0
-72,27,unaffected,0,0,67
-121,104,empty,0,0,0
-96,58,empty,0,0,0
83,-95,unaffected,0,0,55
-104,14,unaffected,0,0,46
-108,-62,unaffected,0,0,52
-69,86,empty,0,0,0
71,79,empty,0,0,0
7,-14,unaffected,0,0,84
-30,39,empty,0,0,0
71,-115,empty,0,0,0
-28,17,unaffected,0,0,70
63,-63,unaffected,0,0,73
78,1,unaffected,0,0,104
9,114,empty,0,0,0
31,-4,unaffected,0,0,70
121,-120,unaffected,0,0,78
41,6,empty,0,0,0
-74,-33,unaffected,0,0,91
-26,-14,unaffected,0,0,62
66,-39,unaffected,0,0,38
66,-125,unaffected,0,0,91
21,122,unaffected,0,0,75
-53,91,unaffected,0,0,98
27,-66,empty,0,0,0
116,-117,unaffected,0,0,76
-92,10,unaffected,0,0,81
7,13,empty,0,0,0
-84,27,unaffected,0,0,52
-51,85,unaffected,0,0,46
99,-67,unaffected,0,0,86
-83,75,empty,0,0,0
98,121,empty,0,0,0
108,-113,unaffected,0,0,57
83,-23,unaffected,0,0,38
-58,-108,unaffected,0,0,105
-57,90,unaffected,0,0,85
-102,-95,unaffected,0,0,95
17,-97,empty,0,0,0
68,-113,unaffected,0,0,38
17,7,empty,0,0,0
117,109,unaffected,0,0,93
61,34,empty,0,0,0
-19,39,unaffected,0,0,36
-53,122,empty,0,0,0
41,-26,empty,0,0,0
-3,30,unaffected,0,0,76
-16,56,unaffected,0,0,99
67,47,empty,0,0,0
98,1,empty,0,0,0
27,-45,empty,0,0,0
74,16,unaffected,0,0,95
90,91,empty,0,0,0
-57,-27,unaffected,0,0,62
123,-47,unaffected,0,0,48
72,-75,unaffected,0,0,56
-59,-18,unaffected,0,0,40
64,108,unaffected,0,0,94
33,70,unaffected,0,0,46
66,-42,empty,0,0,0
-94,112,unaffected,0,0,59
25,-100,unaffected,0,0,66
104,-45,unaffected,0,0,81
-26,-30,empty,0,0,0
66,57,unaffected,0,0,82
85,-103,unaffected,0,0,95
8,-92,unaffected,0,0,71
-42,-13,unaffected,0,0,103
23,-14,unaffected,0,0,44
-67,-20,empty,0,0,0
61,50,unaffected,0,0,93
-124,-28,unaffected,0,0,56
0,-77,unaffected,0,0,55
-91,-96,unaffected,0,0,84
-121,9,empty,0,0,0
16,-9,unaffected,0,0,61
-49,-114,empty,0,0,0
74,-54,unaffected,0,0,85
-19,7,unaffected,0,0,63
-67,96,unaffected,0,0,64
10,-114,unaffected,0,0,101
-102,-28,unaffected,0,0,60
122,-70,empty,0,0,0
-81,125,empty,0,0,0
-44,-53,unaffected,0,0,91
-31,-41,empty,0,0,0
-53,-63,unaffected,0,0,80
-38,-95,unaffected,0,0,63
26,-92,unaffected,0,0,90
-107,-79,unaffected,0,0,39
-25,86,empty,0,0,0
122,105,empty,0,0,0
5,-110,unaffected,0,0,60
48,18,unaffected,0,0,77
46,109,empty,0,0,0
-52,43,unaffected,0,0,50
-20,-21,unaffected,0,0,97
-46,8,unaffected,0,0,85
-37,25,unaffected,0,0,52
-6,-50,unaffected,0,0,59
48,41,unaffected,0,0,98
-72,-93,empty,0,0,0
99,-114,unaffected,0,0,45
114,62,unaffected,0,0,50
-14,8,unaffected,0,0,50
32,20,empty,0,0,0
-102,40,unaffected,0,0,104
-66,-20,empty,0,0,0
-87,28,unaffected,0,0,88
-55,-19,unaffected,0,0,76
-49,5,unaffected,0,0,40
-27,-31,empty,0,0,0
-23,63,unaffected,0,0,55
-62,-29,unaffected,0,0,48
-83,104,unaffected,0,0,39
93,73,unaffected,0,0,53
93,-122,empty,0,0,0
8,57,unaffected,0,0,48
58,19,empty,0,0,0
77,15,unaffected,0,0,55
35,23,empty,0,0,0
-107,-58,unaffected,0,0,82
-114,59,empty,0,0,0
30,38,empty,0,0,0
58,63,unaffected,0,0,74
72,110,empty,0,0,0
20,112,empty,0,0,0
-99,69,unaffected,0,0,40
124,-29,unaffected,0,0,105
-113,71,unaffected,0,0,72
-4,-111,unaffected,0,0,69
-18,45,unaffected,0,0,74
52,-77,unaffected,0,0,82
51,-81,unaffected,0,0,96
64,-37,unaffected,0,0,61
110,-48,empty,0,0,0
10,90,unaffected,0,0,61
9,-16,unaffected,0,0,72
17,-59,unaffected,0,0,78
-116,7,empty,0,0,0
-120,-62,unaffected,0,0,38
10,62,empty,0,0,0
-46,-81,empty,0,0,0
-108,13,unaffected,0,0,104
125,-53,unaffected,0,0,87
-42,-10,unaffected,0,0,55
51,-62,empty,0,0,0
-6,104,unaffected,0,0,84
111,60,unaffected,0,0,66
66,91,unaffected,0,0,72
-105,-47,unaffected,0,0,43
39,-32,unaffected,0,0,59
80,88,unaffected,0,0,83
89,-17,empty,0,0,0
70,18,unaffected,0,0,76
61,-78,unaffected,0,0,52
85,41,empty,0,0,0
-100,53,unaffected,0,0,99
-56,-117,empty,0,0,0
-15,34,unaffected,0,0,51
45,32,empty,0,0,0
-94,-45,empty,0,0,0
50,112,empty,0,0,0
46,116,unaffected,0,0,35
-36,-32,empty,0,0,0
15,-45,unaffected,0,0,65
123,19,empty,0,0,0
10,-25,unaffected,0,0,62
124,64,empty,0,0,0
82,-75,unaffected,0,0,43
69,-87,empty,0,0,0
-108,-83,unaffected,0,0,82
16,-6,empty,0,0,0
-24,-4,unaffected,0,0,69
-9,91,unaffected,0,0,42
124,25,empty,0,0,0
-112,-97,unaffected,0,0,65
-104,-92,empty,0,0,0
-27,30,unaffected,0,0,62
-92,-58,unaffected,0,0,86
26,-104,empty,0,0,0
105,12,empty,0,0,0
0,36,unaffected,0,0,72
-94,96,unaffected,0,0,64
-31,16,unaffected,0,0,73
-29,2,unaffected,0,0,62
13,38,unaffected,0,0,44
-14,-112,unaffected,0,0,90
-81,-43,unaffected,0,0,60
55,-91,unaffected,0,0,38
-119,-79,empty,0,0,0
68,-44,unaffected,0,0,46
42,91,unaffected,0,0,80
0,-83,unaffected,0,0,76
113,56,unaffected,0,0,61
-38,114,unaffected,0,0,50
-32,31,empty,0,0,0
-69,16,unaffected,0,0,66
15,-79,empty,0,0,0
106,67,empty,0,0,0
116,101,unaffected,0,0,94
74,-83,unaffected,0,0,55
77,122,unaffected,0,0,65
-31,73,unaffected,0,0,63
-14,92,unaffected,0,0,41
73,-10,unaffected,0,0,59
-55,-53,empty,0,0,0
-95,62,unaffected,0,0,53
-92,67,unaffected,0,0,86
60,-75,unaffected,0,0,66
-74,-119,empty,0,0,0
26,-102,empty,0,0,0
35,-9,empty,0,0,0
24,-30,empty,0,0,0
-17,-94,unaffected,0,0,91
111,-70,unaffected,0,0,101
-82,-106,unaffected,0,0,71
-120,-81,unaffected,0,0,56
83,-90,empty,0,0,0
-72,-44,empty,0,0,0
85,5,unaffected,0,0,75
-92,-73,empty,0,0,0
-14,-47,empty,0,0,0
-5,20,empty,0,0,0
39,19,unaffected,0,0,69
84,25,unaffected,0,0,66
-37,-11,empty,0,0,0
-98,-22,empty,0,0,0
-14,-86,unaffected,0,0,50
-46,-90,unaffected,0,0,63
-22,99,empty,0,0,0
75,103,unaffected,0,0,81
-13,117,unaffected,0,0,91
18,82,empty,0,0,0
11,30,empty,0,0,0
64,46,empty,0,0,0
-9,-63,unaffected,0,0,76
-97,-111,empty,0,0,0
-11,106,unaffected,0,0,74
20,60,unaffected,0,0,66
84,111,empty,0,0,0
-32,-9,unaffected,0,0,57
-30,107,unaffected,0,0,39
-84,26,unaffected,0,0,97
-79,30,unaffected,0,0,101
-77,-57,unaffected,0,0,46
35,94,unaffected,0,0,59
-37,90,unaffected,0,0,86
-76,-72,unaffected,0,0,40
-45,-14,unaffected,0,0,84
72,91,unaffected,0,0,59
-99,-75,unaffected,0,0,49
94,112,unaffected,0,0,44
-81,-19,unaffected,0,0,62
-76,-8,unaffected,0,0,40
-49,-68,unaffected,0,0,60
-102,-7,unaffected,0,0,40
87,35,empty,0,0,0
119,-111,empty,0,0,0
-124,-82,unaffected,0,0,60
66,37,empty,0,0,0
100,-62,unaffected,0,0,74
-74,-29,unaffected,0,0,88
-92,93,unaffected,0,0,88
-97,104,unaffected,0,0,101
27,28,empty,0,0,0
83,47,unaffected,0,0,46
-79,-2,unaffected,0,0,38
-7,-101,empty,0,0,0
105,105,empty,0,0,0
-119,27,empty,0,0,0
98,-116,empty,0,0,0
-109,27,empty,0,0,0
-59,-101,unaffected,0,0,86
-60,17,unaffected,0,0,63
-54,-110,unaffected,0,0,61
-37,-108,unaffected,0,0,40
-114,6,unaffected,0,0,71
-59,6,unaffected,0,0,96
11,-9,empty,0,0,0
-106,8,empty,0,0,0
-76,39,unaffected,0,0,51
-96,-30,unaffected,0,0,73
-24,115,empty,0,0,0
78,-89,empty,0,0,0
-67,88,unaffected,0,0,64
92,-78,empty,0,0,0
-36,-13,unaffected,0,0,65
-59,56,empty,0,0,0
-28,-52,empty,0,0,0
109,100,unaffected,0,0,77
56,-51,unaffected,0,0,90
67,-31,unaffected,0,0,87
17,-48,unaffected,0,0,67
107,57,unaffected,0,0,103
-27,-125,unaffected,0,0,61
104,121,unaffected,0,0,105
37,-79,unaffected,0,0,74
-93,-75,empty,0,0,0
